States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Connecticut,7,2012,97.1,0.3,1.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2012,95.7,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2012,NA,1.3,0.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2012,92.1,0.4,1.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2012,95.1,0.1,2.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2012,NA,0.3,2.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2012,88.4,0.4,5.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2012,95.5,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2012,95.4,0.4,0.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2012,90.5,0.5,1.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2012,90,0.3,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2012,92.4,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2012,96.6,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2012,91.3,0.4,3.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2012,98.2,0.3,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2012,94.8,0.5,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2012,94.4,0.6,5.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2012,96.3,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,25,2012,99.9,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2012,96.7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2012,94.8,0.4,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2012,96,0.6,1.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2012,93.6,0.7,1.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2012,NA,0.2,2.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2012,97,0.2,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2012,93.9,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2012,96.6,0.1,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2012,NA,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2012,89.9,0.1,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2012,96.3,0.4,1.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2012,90.5,0.1,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2012,93.5,0.2,6.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2012,87,0.4,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2012,94.2,0.4,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2012,90.9,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2012,97.9,0.3,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2012,94.5,0.2,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,44,2012,97.5,NA,1.2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2012,96.3,0.2,3.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2012,92.8,0.4,5.7,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2012,93.1,0.1,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2012,91.7,1.2,3.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2012,96.3,1.2,NA,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2012,92.8,0.5,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2012,97.5,0.3,1.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1,2013,92,0.1,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,2013,94.4,1.2,4.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2013,93.9,0.2,4.7,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2013,86.5,0.1,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2013,92.3,0.2,3.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2013,81.7,0.1,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,7,2013,96.9,0.3,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2013,96.4,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2013,NA,1.1,0.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2013,93.2,0.3,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2013,94,0.1,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2013,NA,0.1,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2013,88.2,0.4,6.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2013,94.7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2013,92.9,0.4,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2013,91,0.5,1.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2013,86.9,0.8,1.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2013,92.6,0.3,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2013,96.8,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2013,89.9,0.4,5.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2013,97.6,0.3,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2013,95.1,0.4,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2013,97.5,0.5,5.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2013,93.4,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
